@id	@lon	@lat
256211059	15.9951803	48.7543700
256211060	15.9973155	48.7541136
256211061	15.9992068	48.7543706
256211062	16.0011989	48.7552861
256211063	16.0022243	48.7563467
256328228	15.9682061	48.6952405
263283010	16.4026915	48.2587673
263283014	16.4021831	48.2583511
263283262	16.4014713	48.2577846
263283263	16.4007084	48.2571320
263284749	16.3978780	48.2518555
270248966	16.0956666	48.5063381
270249691	16.1052946	48.5028356
270534452	16.1731283	48.4484276
282747318	16.3972739	48.2729800
287858052	16.1246797	48.4944553
287859954	16.1043171	48.5031904
287860141	16.1000423	48.5047472
287863119	16.0736056	48.5163177
287865227	16.0629015	48.5296390
287865230	16.0627251	48.5267586
287867917	16.1120024	48.5003970
288264000	15.9490655	48.7417566
288844186	16.1729320	48.4465510
292277458	16.0680283	48.5487967
292277459	16.0689233	48.5521081
294509603	16.3419323	48.1764062
332164704	16.3870332	48.1870817
332164705	16.3854538	48.1873640
332164706	16.3831279	48.1879757
333572349	16.3892802	48.1931734
334286226	15.9604900	48.6761049
334286533	15.9868784	48.6698759
334288004	16.0234660	48.6681278
334288007	16.0192400	48.6699101
334288012	16.0040835	48.6708492
334288022	15.9953712	48.6732537
334288027	15.9906559	48.6727522
334288046	15.9782606	48.6720115
334293739	15.9585830	48.6792327
334299330	15.9710929	48.6897673
334299334	15.9627763	48.7064280
334299548	15.9684344	48.7083250
334318199	15.9541560	48.7496360
334319929	15.9903623	48.7561357
335901091	15.9546486	48.7452390
335901294	15.9478551	48.7385662
335901567	15.9553511	48.7297361
336219276	16.0770035	48.5133333
336219277	16.0758111	48.5141283
336219754	16.0692343	48.5211438
336246030	16.0637462	48.5250487
336246031	16.0625803	48.5274669
336246202	16.0680605	48.5221774
337225731	16.0853528	48.5814930
337910716	16.0713695	48.5574964
340046816	16.3313059	48.3395541
374139480	16.0457078	48.6442985
391026245	16.1229518	48.4959360
391026246	16.1198234	48.4975483
412892412	16.2072644	48.3831874
420047769	16.3864821	48.1871261
476279835	16.0116780	48.7705824
476284291	15.9643249	48.7612867
476284292	15.9629256	48.7606378
476290048	15.9479734	48.7401559
476290049	15.9480624	48.7379130
476290050	15.9539937	48.7485666
476290051	15.9547794	48.7468921
486269714	16.0724612	48.5654870
486275228	16.0718420	48.5586212
486275231	16.0719999	48.5592230
486275242	16.0720929	48.5598711
486275266	16.0729308	48.5692482
